id,idno,instrument_name,universe,unit_of_analysis,data_kind,authoring_entity_detail,study_type,study_scope,source
7276,PER_2013_ENAPRES_v01_M,Encuesta Nacional de Programas Estratégicos 2013,"Comprende a todas aquellas viviendas y sus ocupantes residentes del area urbana y área rural del país.

No forman parte del estudio aquellas personas que residan en viviendas colectivas (hoteles, asilos, hospitales, cárceles, etc.)","Las Unidades de análisis describen: Viviendas particulares, Hogares y Todas las personas residentes habituales del hogar.",Sample survey data [ssd],"Instituto Nacional de Estadística e Informática (PCM), Dirección Nacional de Censos y Encuestas (INEI), Dirección Ejecutiva de Censos y Encuestas a Hogares (DNCE)",Socio-Economic/Monitoring Survey [hh/sems],"Los temas y variables a investigar son los siguientes:

-  VIVIENDA: Ubicación geográfica, Ubicación muestral, Dirección de la vivienda, Tipo de vivienda, Material de construcción predominante en las paredes exteriores, techos y pisos, Régimen de tenencia, Acceso a la Energía Eléctrica por Red Pública y Seguridad Ciudadana

-  HOGAR: Número de hogares que ocupan la vivienda, Tipo de Alumbrado, Energía o combustible más utilizado para cocinar, Procedencia del abastecimiento de agua, Evaluación de hogares con agua segura, Forma de eliminación de excretas (servicio de desagüe), Telefonía fija domiciliaria, Gestión integral de residuos sólidos, Prevención y atención de incendios, Telecomunicación, Equipamiento/ servicio del hogar, Acceso a los servicios de: telefonía pública, telefonía fija y de Internet y Acceso a Servicios Básicos 

POBLACIÓN:

-  Variables demográficas: Sexo y Edad

-  Variables educativas: Nivel de estudios alcanzado, Asistencia a un centro o programa de educación básica regular y Alfabetismo.

-  Variables económicas: Condición de actividad la semana pasada, Ocupación principal, Tareas realizadas en la ocupación principal, Rama de actividad de la ocupación principal, Categoría de ocupación de la ocupación principal, Trabajadores Familiares no remunerados de la ocupación principal, Trabajadores Familiares remunerados de la ocupación principal, Determinación del Productor Agropecuario, Ocupación secundaria, Tareas realizadas en la ocupación secundaria, Rama de actividad de la ocupación secundaria, Categoría de ocupación de la ocupación secundaria, Trabajadores Familiares no remunerados de la ocupación secundaria, Trabajadores Familiares remunerados de la ocupación secundaria y Determinación del Productor Agropecuario

-  Variables sociales: Estado Civil, Seguridad Ciudadana, Vigencia de los derechos humanos y derechos fundamentales, Accesibilidad A Establecimientos Públicos y Beneficiarios del Programa Social Pensión 65.

-  Variables de la Actividad Agrícola y/o Pecuaria: Uso de fertilizantes y pesticidas, Percepción sobre la calidad de las tierras agrícolas, Uso de semillas certificadas o desinfectadas. Uso de técnicas de selección, tratamiento y almacenamiento de semillas, Uso y acceso del agua, grado de satisfacción y problemas, Uso de riego tecnificado, Conocimiento y uso de nuevas tecnologías en la producción agropecuaria, Uso de buenas prácticas de manejo pecuario, Tenencia de animales de buena calidad genética, Cultivos con tierras con vocación agropecuaria, tierras labradas y con rotación de cultivos, Conocimiento, asistencia técnica y capacitación en prácticas agrarias y pecuarias, Aplicación de buenas prácticas en bioseguridad para: granjas, ganado porcino, bovino, etc. y Aplicación de buenas prácticas para el manejo de plagas, uso de plaguicidas y manejo integrado de plagas.",https://catalog.ihsn.org/catalog/7276
7286,PER_2014_ENAPRES_v01_M,Encuesta Nacional de Programas Estratégicos 2014,"Comprende a todas aquellas viviendas y sus ocupantes residentes del area urbana y área rural del país.

No forman parte del estudio aquellas personas que residan en viviendas colectivas (hoteles, asilos, hospitales, cárceles, etc.)","Las Unidades de análisis describen: Viviendas particulares, Hogares y Todas las personas residentes habituales del hogar.",Sample survey data [ssd],"Instituto Nacional de Estadística e Informática (INEI) (Presidencia del Consejo de Ministros (PCM)), Dirección Nacional de Censos y Encuestas (DNCE) (INEI)",Socio-Economic/Monitoring Survey [hh/sems],"Los temas investigados en la Encuesta Nacional de Programas Estratégicos 2014, son los siguientes:

-  Características de la Vivienda, comprende los datos de la vivienda, datos del hogar, telecomunicación, equipamiento, saneamiento básico, electrificación, seguridad ciudadana, telecomunicación rural, equipamiento, gestión de residuos sólidos, etc.

-  Características de los habitantes de los residentes habituales del Hogar, comprende los núcleos familiares, sexo, edad, estado civil, entre otros.

-  Discapacidad, Programas sociales, Educación y Auto identificación Étnica

-  Seguridad Ciudadana, comprende la percepción de inseguridad, victimización, control y prevención de delitos, confianza en las instituciones, participación ciudadana.

-  Salud

-  Medio Ambiente, Emergencias Médicas y Exposición a Desastres

-  Telecomunicación Rural, corresponde al acceso de internet, telefonía fija, telefonía pública y telefonía celular.

-  TV Perú

-  Radio Nacional

-  Características Migratorias y Remesas del Hogar",https://catalog.ihsn.org/catalog/7286
7440,PER_2015_ENAPRES_v01_M,Encuesta Nacional de Programas Estratégicos 2015,"Comprende las viviendas particulares y sus ocupantes residentes habituales del área urbana y área rural del país. No forman parte del estudio las personas que residen en viviendas colectivas (hospitales, hoteles, asilos, claustros religiosos, cuarteles, cárceles, etc.).","En la Encuesta Nacional de Programas Estratégicos (ENAPRES), las unidades de investigación estadística son las siguientes: 

-  Vivienda particular

-  Hogar

-  Todas las personas residentes habituales del hogar

No serán investigados: 

-   Los integrantes de una pensión que tienen de 10 a más pensionistas 

-   Los trabajadores del hogar con cama afuera",Sample survey data [ssd],"Instituto Nacional de Estadística e Informática (INEI) (Presidencia del Consejo de Ministros (PCM)), Dirección Nacional de Censos y Encuestas (DNCE) (INEI)",Socio-Economic/Monitoring Survey [hh/sems],"Los temas investigados en la Encuesta Nacional de Programas Estratégicos 2015, son los siguientes:

-  Tema 1: Características de la Vivienda, comprende los datos de la vivienda, datos del hogar, telecomunicación, equipamiento, saneamiento básico, electrificación, seguridad ciudadana, telecomunicación rural, equipamiento, gestión de residuos sólidos, etc

-  Tema 2: Características de los habitantes de los residentes habituales del Hogar, comprende los núcleos familiares, sexo, edad, estado civil, entre otros

-  Tema 3: Identidad, Discapacidad, Emergencias médicas, Programas sociales, Educación y Auto identificación Étnica

-  Tema 4: Telecomunicación

-  Tema 5: Seguridad Ciudadana, comprende la percepción de inseguridad, victimización, control y prevención de delitos, confianza en las instituciones, participación ciudadana

-  Tema 6: Seguridad Vial

-  Tema 7: Salud

-  Tema 8: Atención de Incendios, Infraestructura y Exposición a Desastres

-  Tema 9: Medio Ambiente y Protección al Consumidor

-  Tema 10: Telecomunicación Rural, corresponde al acceso de internet, telefonía fija, telefonía pública y telefonía celular

-  Tema 11: TV Perú

-  Tema 12: Radio Nacional

-  Tema 13: Características Migratorias y Remesas del Hogar",https://catalog.ihsn.org/catalog/7440
8423,PER_2016_ENAPRES_v01_M,Encuesta Nacional de Programas Presupuestales 2016,"Comprende las viviendas particulares y sus ocupantes residentes habituales del área urbana y área rural del país. No forman parte del estudio las personas que residen en viviendas colectivas (hospitales, hoteles, asilos, claustros religiosos, cuarteles, cárceles, etc.).","En la Encuesta Nacional de Programas Estratégicos (ENAPRES), las unidades de investigación estadística son las siguientes: 

-  Vivienda particular

-  Hogar

-  Todas las personas residentes habituales del hogar

No serán investigados: 

-   Los integrantes de una pensión que tienen de 10 a más pensionistas 

-   Los trabajadores del hogar con cama afuera",Sample survey data [ssd],"Instituto Nacional de Estadística e Informática (INEI) (Presidencia del Consejo de Ministros (PCM)), Dirección Nacional de Censos y Encuestas (DNCE) (INEI)",Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/8423
8424,PER_2017_ENAPRES_v01_M,Encuesta Nacional de Programas Presupuestales 2017,"Comprende las viviendas particulares y sus ocupantes residentes habituales del área urbana y área rural del país. 

No forman parte del estudio las personas que residen en viviendas colectivas (hospitales, hoteles, asilos, claustros religiosos, cuarteles, cárceles, etc.).","La unidad de investigación estadística es la vivienda particular, el hogar y todas las personas residentes habituales del hogar.

No forman parte del estudio las viviendas colectivas (hospitales, hoteles, asilos, claustros religiosos, cuarteles, cárceles, etc.).",Sample survey data [ssd],"Instituto Nacional de Estadística e Informática (Presidencia del Consejo de Ministros), Dirección Técnica de Demografía e Indicadores Sociales (INEI)",Socio-Economic/Monitoring Survey [hh/sems],NA,https://catalog.ihsn.org/catalog/8424
8008,MEX_2013_ENSU_v01_M,Encuesta Nacional de Seguridad Pública Urbana 2013,"La encuesta está dirigida a la población de 18 años cumplidos o más, en ciudades urbanas de 100,000 habitantes y más residentes en viviendas particulares dentro del territorio nacional.","La encuesta está diseñada para recoger información de las siguientes unidades de análisis:

-  Vivienda

-  Hogar principal

-  Población de 18 años y más",Sample survey data [ssd],"Instituto Nacional de Estadística y Geografía, Dirección General de Estadísticas de Gobierno, Seguridad Pública y Justicia, Dirección General de Estadísticas Sociodemográficas",Other Household Survey [hh/oth],El alcance de la ENSU incluye: Seguridad pública,https://catalog.ihsn.org/catalog/8008
8009,MEX_2014_ENSU_v01_M,Encuesta Nacional de Seguridad Pública Urbana 2014,"La encuesta está dirigida a la población de 18 años cumplidos o más, en ciudades urbanas de 100,000 habitantes y más residentes en viviendas particulares dentro del territorio nacional.","La encuesta está diseñada para recoger información de las siguientes unidades de análisis:

- Vivienda

- Hogar principal

- Población de 18 años y más",Sample survey data [ssd],"Instituto Nacional de Estadística y Geografía, Dirección General de Estadísticas de Gobierno, Seguridad Pública y Justicia, Dirección General de Estadísticas Sociodemográficas",Other Household Survey [hh/oth],El alcance de la ENSU incluye: Seguridad pública,https://catalog.ihsn.org/catalog/8009
7405,MEX_2016_ENSU_v01_M,Encuesta Nacional de Seguridad Pública Urbana 2016,"La encuesta está dirigida a la población de 18 años cumplidos o más, en ciudades urbanas de 100,000 habitantes y más residentes en viviendas particulares dentro del territorio nacional.","La encuesta está diseñada para recoger información de las siguientes unidades de análisis:

-  Vivienda

-  Hogar principal

-  Población de 18 años y más.",Sample survey data [ssd],"Instituto Nacional de Estadística y Geografía, Dirección General de Estadísticas de Gobierno, Seguridad Pública y Justicia, Dirección General de Estadísticas Sociodemográficas",Other Household Survey [hh/oth],"El alcance de la ENSU incluye:

-  SECCIÓN I. Percepción sobre Seguridad Pública

-  SECCIÓN II. Conflictos y Conductas Antisociales

-  SECCIÓN III. Desempeño Gubernamental",https://catalog.ihsn.org/catalog/7405
7415,MEX_2017_ENSU_v01_M,Encuesta Nacional de Seguridad Pública Urbana 2017,"La encuesta está dirigida a la población de 18 años cumplidos o más, en ciudades urbanas de 100,000 habitantes y más residentes en viviendas particulares dentro del territorio nacional.","La encuesta está diseñada para recoger información de las siguientes unidades de análisis:

-  Vivienda

-  Hogar principal

-  Población de 18 años y más.",Sample survey data [ssd],"Instituto Nacional de Estadística y Geografía, Dirección General de Estadísticas de Gobierno, Seguridad Pública y Justicia, Dirección General de Estadísticas Sociodemográficas",Other Household Survey [hh/oth],"El alcance de la ENSU incluye:

-  SECCIÓN I. Percepción sobre Seguridad Pública

-  SECCIÓN II. Conflictos y Conductas Antisociales

-  SECCIÓN III. Desempeño Gubernamental",https://catalog.ihsn.org/catalog/7415
7218,MEX_2013_ENVIPE_v01_M,Encuesta Nacional de Victimización y Percepción sobre Seguridad Pública 2013,"La encuesta está dirigida a la población de 18 años cumplidos o más, que reside permanentemente en viviendas particulares dentro del territorio nacional.",La Unidad de Análisis de la Encuesta describe: Individuos y Hogares.,Sample survey data [ssd],"Instituto Nacional de Estadística y Geografía, Dirección General de Estadísticas de Gobierno, Seguridad Pública y Justicia, Dirección General de Estadísticas Sociodemográficas",Other Household Survey [hh/oth],"El alcance de la ENVIPE describe:

GENERAL

I Tipo de vivienda

II Hogares y residentes de la vivienda 

III Integrantes del hogar y características sociodemográficas 

V Percepción sobre seguridad pública 

V Desempeño institucional 

VI Victimización en el hogar 

VII Victimización personal

MÓDULO DE VICTIMIZACIÓN 

I Todos los tipos de delito 

II Robo total o parcial de vehículo (códigos 01 y 02) 

III Robo en casa habitación, asalto en la calle o transporte público o robo distinto a los anteriores (códigos 03, 04 y 05) 

IV Fraude (código 07) 

V Extorsión (código 08) 

VI Secuestro para exigir dinero o cosas (código 11) 

VII Hostigamiento, manoseo, exhibicionismo, intento de violación (código 12).",https://catalog.ihsn.org/catalog/7218
7219,MEX_2014_ENVIPE_v01_M,Encuesta Nacional de Victimización y Percepción sobre Seguridad Pública 2014,"La encuesta está dirigida a la población de 18 años cumplidos o más, que reside permanentemente en viviendas particulares dentro del territorio nacional.",La Unidad de Análisis de la Encuesta describe: Individuos y Hogares.,Sample survey data [ssd],"Instituto Nacional de Estadística y Geografía, Dirección General de Estadísticas de Gobierno, Seguridad Pública y Justicia, Dirección General de Estadísticas Sociodemográficas",Other Household Survey [hh/oth],"El alcance de la ENVIPE describe:

GENERAL

I Tipo de vivienda

II Hogares y residentes de la vivienda 

III Integrantes del hogar y características sociodemográficas 

V Percepción sobre seguridad pública 

V Desempeño institucional 

VI Victimización en el hogar 

VII Victimización personal

MÓDULO DE VICTIMIZACIÓN 

I Todos los tipos de delito 

II Robo total o parcial de vehículo (códigos 01 y 02) 

III Robo en casa habitación, asalto en la calle o transporte público o robo distinto a los anteriores (códigos 03, 04 y 05) 

IV Fraude (código 07) 

V Extorsión (código 08) 

VI Secuestro para exigir dinero o cosas (código 11) 

VII Hostigamiento, manoseo, exhibicionismo, intento de violación (código 12).",https://catalog.ihsn.org/catalog/7219
7220,MEX_2015_ENVIPE_v01_M,Encuesta Nacional de Victimización y Percepción sobre Seguridad Pública 2015,"La encuesta está dirigida a la población de 18 años cumplidos o más, que reside permanentemente en viviendas particulares dentro del territorio nacional.",La Unidad de Análisis de la Encuesta describe: Individuos y Hogares.,Sample survey data [ssd],"Instituto Nacional de Estadística y Geografía, Dirección General de Estadísticas de Gobierno, Seguridad Pública y Justicia, Dirección General de Estadísticas Sociodemográficas",Other Household Survey [hh/oth],"El alcance de la ENVIPE describe:

GENERAL

I Tipo de vivienda

II Hogares y residentes de la vivienda 

III Integrantes del hogar y características sociodemográficas 

V Percepción sobre seguridad pública 

V Desempeño institucional 

VI Victimización en el hogar 

VII Victimización personal

MÓDULO DE VICTIMIZACIÓN 

I Todos los tipos de delito 

II Robo total o parcial de vehículo (códigos 01 y 02) 

III Robo en casa habitación, asalto en la calle o transporte público o robo distinto a los anteriores (códigos 03, 04 y 05) 

IV Fraude (código 07) 

V Extorsión (código 08) 

VI Secuestro para exigir dinero o cosas (código 11) 

VII Hostigamiento, manoseo, exhibicionismo, intento de violación (código 12).",https://catalog.ihsn.org/catalog/7220
7221,MEX_2016_ENVIPE_v01_M,Encuesta Nacional de Victimización y Percepción sobre Seguridad Pública 2016,"La encuesta está dirigida a la población de 18 años cumplidos o más, que reside permanentemente en viviendas particulares dentro del territorio nacional.",La Unidad de Análisis de la Encuesta describe: Individuos y Hogares.,Sample survey data [ssd],"Instituto Nacional de Estadística y Geografía, Dirección General de Estadísticas de Gobierno, Seguridad Pública y Justicia, Dirección General de Estadísticas Sociodemográficas",Other Household Survey [hh/oth],"El alcance de la ENVIPE describe:

GENERAL

I Tipo de vivienda

II Hogares y residentes de la vivienda 

III Integrantes del hogar y características sociodemográficas 

V Percepción sobre seguridad pública 

V Desempeño institucional 

VI Victimización en el hogar 

VII Victimización personal

MÓDULO DE VICTIMIZACIÓN 

I Todos los tipos de delito 

II Robo total o parcial de vehículo (códigos 01 y 02) 

III Robo en casa habitación, asalto en la calle o transporte público o robo distinto a los anteriores (códigos 03, 04 y 05) 

IV Fraude (código 07) 

V Extorsión (código 08) 

VI Secuestro para exigir dinero o cosas (código 11) 

VII Hostigamiento, manoseo, exhibicionismo, intento de violación (código 12).",https://catalog.ihsn.org/catalog/7221
8006,MEX_2018_ENCO_v01_M,Encuesta Nacional sobre Confianza del Consumidor 2018,La población objeto de estudio son las personas de 18 años y más que residan permanentemente en las viviendas particulares ubicadas dentro del dominio de estudio en la fecha del levantamiento.,"Las unidades de análisis utilizadas en la ENCO son:

-  Vivienda: Constituye la unidad de muestreo, es decir, la vivienda es utilizada para efectos de selección, la cual, es seleccionada a través de un esquema de muestreo tipo polietápico y estratificado.

-  Hogar: El hogar conforma la unidad de observación, se identifica a través de la vivienda particular, y en él se puede detectar la población objeto de estudio de la encuesta.",Sample survey data [ssd],"Instituto Nacional de Estadística y Geografía, Dirección General de Estadísticas Sociodemográficas, Dirección de Encuestas Regulares en Hogares",Other Household Survey [hh/oth],El alcance de la ENCO incluye: Ingreso y Consumo,https://catalog.ihsn.org/catalog/8006
7768,CHL_2015_ENUT_v01_M,Encuesta Nacional sobre Uso del Tiempo 2015,"Todas las personas de 12 años y más, que tengan condiciones físicas y mentales aptas para responder la encuesta, que residan habitualmente en viviendas particulares ocupadas (elegibles) y que se encuentren en estas durante el período de levantamiento. Esta población involucra al área urbana de todas las regiones del país, y específicamente pertenece a las principales comunas que acumulan el 85% de la población total nacional. Esto equivale a 118 comunas.","-  Hogares

-  Personas",Sample survey data [ssd],"Departamento de Estudios Sociales (Subdirección Técnica), Subdepartamento de Proyectos de Hogares (Subdirección de Operaciones)",Other Household Survey [hh/oth],"El alcance de la Encuesta Nacional sobre Uso del Tiempo es:

-  Uso del Tiempo

-  Empleo

-  Trabajo no remunerado

-  Trabajo doméstico no remunerado

-  Actividades personales",https://catalog.ihsn.org/catalog/7768
9520,HND_2018_EPHPM_v01_M,Encuesta Permanente de Hogares de Propósitos Múltiples 2018,El universo de este estudio es la pobación nacional.,"- Hogares
- Individuos",Sample survey data [ssd],Instituto Nacional de Estdística (INE) (Gobierno de la República de Honduras),Other Household Survey [hh/oth],NA,https://catalog.ihsn.org/catalog/9520
7780,PER_2014_ENPROHRU_v01_M,Encuesta Provincial a Hogares Rurales 2014,"La población de estudio, son todas las viviendas particulares y sus ocupantes residentes en el área rural del país. 

Se excluye a las personas que residen en las viviendas colectivas (hoteles, hospitales, asilos, conventos, centros de reclusión entre otros).","La unidad de investigación está constituida por: 

-  Los integrantes del hogar familiar

-  El hogar",Sample survey data [ssd],"Instituto Nacional de Estadística e Informática (INEI) (Presidencia del Consejo de Ministros (PCM)), Dirección Nacional de Censos y Encuestas (DNCE) (INEI)",Other Household Survey [hh/oth],"La temática de la Encuesta Provincial a Hogares Rurales 2014 son los siguientes:

-  Características de los miembros del hogar. 

-  Educación. 

-  Salud. 

-  Características de la vivienda y hogar. 

-  Gastos del hogar. 

-  Migración. 

-  Telecomunicaciones. 

-  Programas sociales. 

-  Acceso al sistema financiero. 

-  Empleo e ingresos. 

-  Productor agropecuario.
 
-  Participación ciudadana.",https://catalog.ihsn.org/catalog/7780
7783,PRY_2016_EUT_v01_M,Encuesta Sobre Uso del Tiempo 2016,"La investigación está dirigida a la población de 14 años y más de edad que reside habitualmente en viviendas particulares, excluyendo a la población que reside en viviendas colectivas y en comunidades indígenas.","- Hogares

- Personas",Sample survey data [ssd],"Dirección General de Estadística, Encuestas y Censos",Other Household Survey [hh/oth],"El alcance de la Encuesta Sobre Uso del Tiempo 2016 incluye:

-  SECCIÓN 1: CARACTERISTICAS DE LA POBLACIÓN. En esta parte se investiga las características demográficas de las personas que residen habitualmente en el hogar; es decir edad, sexo, estado civil y otros. Esta sección permite identificar a los miembros del hogar.

-  SECCIÓN 2: CARACTERISTICAS DE LA VIVIENDA Y EL HOGAR. Se recoge información sobre las características de la vivienda e informaciones relacionadas al confort y servicios básicos con que cuenta el hogar.

-  SECCIÓN 3: EDUCACIÓN. En esta sección interesa conocer las principales características educativas de la población, el volumen de población en edad escolar que no asiste actualmente a un centro educativo y las razones de deserción escolar.

-  SECCIÓN 4: EMPLEO, INGRESO Y AUTOCONSUMO AGROPECUARIO. Determina si los miembros del hogar de 14 años y más de edad realizan o no actividades económicas y actividades de autoconsumo.

-  SECCIÓN 5: ACTIVIDADES REALIZADAS POR LOS MIEMBROS DEL HOGAR. Se capta información sobre el tiempo que invierten los miembros del hogar en sus actividades cotidianas, esta sección está dirigida a miembros del hogar de 14 años y más de edad.",https://catalog.ihsn.org/catalog/7783
5117,MEX_2013_ENCO-M04_v01_M,Encuesta Sobre la Confianza del Consumidor (ENCO) 2013,"La población objeto de estudio son las personas de 18 años de edad y más, que residan permanentemente en las viviendas particulares ubicadas en el territorio nacional, en la fecha del levantamiento.","Está constituida por la población de 18 años de edad y más, en donde se selecciona a la persona que cumpla años en fecha más cercana al día de la entrevista.",Sample survey data [ssd],"Instituto Nacional de Estadística, Geografía e Informática (INEGI)",Other Household Survey [hh/oth],"En la Tarjeta de Registro de Hogares (TRH) se captan las características principales de las viviendas, los servicios y bienes con que cuenta el hogar, el tipo del mismo; así como de los integrantes del hogar y sus características sociodemográficas. 

- De acuerdo con la estructura del cuestionario de la ENCO, la temática de la encuesta se conforma de la opinión de los informantes sobre:
- Situación económica, presente y futura, de la persona. 
- Situación económica, presente y futura, de los miembros del hogar. 
- Situación económica, presente y futura, del país. 
- Situación actual del consumo de bienes como: alimentos, zapatos, ropa y de bienes muebles de mayor costo como: televisor, lavadora y otros aparatos electrodomésticos. 
- Posibilidad de salir de vacaciones. 
- Posibilidad de ahorrar, presente y futura. 
- Comportamiento de los precios, a futuro. 
- Situación del empleo en el país en los próximos 12 meses. 
- Poder de compra de la población para adquirir automóvil y casa en los próximos 2 años.

Esta información se capta en quince preguntas, sin embargo se resaltan las que constituyen la base para la construcción del indicador de confianza del consumidor:
Comparada con la situación económica que los miembros de este hogar tenían hace 12 meses ¿cómo cree que es su situación económica en este momento?
¿Cómo considera usted que será la situación económica de los miembros de este hogar dentro de 12 meses, respecto a la actual?
¿Cómo considera usted la situación económica del país hoy en día comparada con la de hace 12 meses? 
¿Cómo considera usted que será la situación económica del país dentro de 12 meses respecto, a la situación actual?
Comparando su situación económica actual con la de hace un año ¿cómo considera en el momento actual, las posibilidades de que usted o alguno de los integrantes de este hogar, realice compras tales como: muebles, televisor, lavadora, otros aparatos electrodomésticos, etcétera?",https://catalog.ihsn.org/catalog/5117
4967,MEX_2014_ENCO-M01_v01_M,Encuesta Sobre la Confianza del Consumidor (ENCO) 2014,"La población objeto de estudio son las personas de 18 años de edad y más, que residan permanentemente en las viviendas particulares ubicadas en el territorio nacional, en la fecha del levantamiento.","Está constituida por la población de 18 años de edad y más, en donde se selecciona a la persona que cumpla años en fecha más cercana al día de la entrevista.",Sample survey data [ssd],"Instituto Nacional de Estadística, Geografía e Informática (INEGI)",Other Household Survey [hh/oth],"En la Tarjeta de Registro de Hogares (TRH) se captan las características principales de las viviendas, los servicios y bienes con que cuenta el hogar, el tipo del mismo; así como de los integrantes del hogar y sus características sociodemográficas. 

- De acuerdo con la estructura del cuestionario de la ENCO, la temática de la encuesta se conforma de la opinión de los informantes sobre:
- Situación económica, presente y futura, de la persona. 
- Situación económica, presente y futura, de los miembros del hogar. 
- Situación económica, presente y futura, del país. 
- Situación actual del consumo de bienes como: alimentos, zapatos, ropa y de bienes muebles de mayor costo como: televisor, lavadora y otros aparatos electrodomésticos. 
- Posibilidad de salir de vacaciones. 
- Posibilidad de ahorrar, presente y futura. 
- Comportamiento de los precios, a futuro. 
- Situación del empleo en el país en los próximos 12 meses. 
- Poder de compra de la población para adquirir automóvil y casa en los próximos 2 años.

Esta información se capta en quince preguntas, sin embargo se resaltan las que constituyen la base para la construcción del indicador de confianza del consumidor:
Comparada con la situación económica que los miembros de este hogar tenían hace 12 meses ¿cómo cree que es su situación económica en este momento?
¿Cómo considera usted que será la situación económica de los miembros de este hogar dentro de 12 meses, respecto a la actual?
¿Cómo considera usted la situación económica del país hoy en día comparada con la de hace 12 meses? 
¿Cómo considera usted que será la situación económica del país dentro de 12 meses respecto, a la situación actual?
Comparando su situación económica actual con la de hace un año ¿cómo considera en el momento actual, las posibilidades de que usted o alguno de los integrantes de este hogar, realice compras tales como: muebles, televisor, lavadora, otros aparatos electrodomésticos, etcétera?",https://catalog.ihsn.org/catalog/4967
6035,CHL_2013_CASEN_v01_M,Encuesta de Caracterización Socioeconómica Nacional 2013,"Se consideran miembros del hogar a todas las personas que normalmente hacen vida en común y comparten un presupuesto de alimentación, es decir que comen juntas. Se excluyen aquellas personas que estuvieron ausentes más de seis meses en el último año, exceptuándose el jefe del hogar y los niños menores de seis meses. 
También se consideran miembros del hogar a las personas que se encuentren en las siguientes situaciones:
• Las personas que, en el momento de la encuesta, están residiendo transitoriamente fuera del hogar, ya sea por vacaciones, enfermedad, negocio, trabajo u otra razón, siempre que los períodos de ausencia no superen los seis meses. Estas personas, por tanto, no han definido otro lugar de residencia habitual, es decir, que tenga como residencia habitual solamente el hogar que se está encuestando.
• Las personas que realizan servicios domésticos (remunerados) y residen habitualmente en el hogar (""servicio doméstico puertas adentro"").
• Los extranjeros que trabajan o estudian en el país y que han estado residiendo en la vivienda, o que tengan intención de residir en ella, por seis meses o más.
• Las personas que se encuentran cumpliendo condena, sujetas a régimen de reclusión nocturna o de salida diaria (sólo duermen en el recinto penitenciario), siempre y cuando la persona tenga su residencia habitual en el hogar encuestado.
• Los estudiantes internos y los que estudian y residen en un lugar diferente al de la residencia familiar, aunque excepcionalmente excedan los seis meses de ausencia.",Hogares e Individuos,Sample survey data [ssd],Ministerio de Desarrollo Social (Gobierno de Chile),Other Household Survey [hh/oth],"- Registro de residentes
- Educación
- Trabajo
- Ingresos
- Salud
- Residentes
- Vivienda",https://catalog.ihsn.org/catalog/6035
7978,URY_2015_ENCOR_v01_M,Encuesta de Comportamientos Reproductivos 2015,"Mujeres y varones uruguayos entre 15 y 44 años de edad, residentes en hogares particulares en localidades urbanas de todo el territorio nacional.",-  Individuos,Sample survey data [ssd],Instituto Nacional de Estadística Uruguay,Other Household Survey [hh/oth],"El alcance de la ENCOR incluye:
 
-  Identificación básica del encuestado/a
 
-  Historia conyugal
 
-  Datos de la madre del encuestado/a
 
-  Historia reproductiva
 
-  Métodos anticonceptivos
 
-  Embarazo actual
 
-  Deseos e intenciones reproductivas
 
-  Ideales, normas y actitudes",https://catalog.ihsn.org/catalog/7978
7088,COL_2014_ECC_v01_M,Encuesta de Consumo Cultural 2014,El universo para la Encuesta de Consumo Cultural está conformado por la población civil no institucional residente en las cabeceras municipales del territorio nacional.,"La unidad de análisis de este estudio describe: viviendas, hogares y personas.",Sample survey data [ssd],Dirección de Metodología y Producción Estadística -DIMPE (Departamento Administrativo Nacional de Estadística - DANE),Other Household Survey [hh/oth],"El alcance de la Encuesta de Consumo Cultural es:

A. Identificación y Control de Calidad de la Encuesta

B. Vivienda

C. Registro de Personas

D. Características Generales

E. Fuerza de Trabajo

F. Ingresos

G. Asistencia a Presentaciones y Espectáculos Culturales

H. Publicaciones y Audiovisuales

I. Asistencia a Espacios Culturales

J. Formación y Práctica",https://catalog.ihsn.org/catalog/7088
7089,COL_2016_ECC_v01_M,Encuesta de Consumo Cultural 2016,El universo para la Encuesta de Consumo Cultural está conformado por la población civil no institucional residente en las cabeceras municipales del territorio nacional.,"La unidad de análisis de este estudio describe: viviendas, hogares y personas.",Sample survey data [ssd],Dirección de Metodología y Producción Estadística -DIMPE (Departamento Administrativo Nacional de Estadística - DANE),Other Household Survey [hh/oth],"El alcance de la Encuesta de Consumo Cultural es:

A. Identificación y Control de Calidad de la Encuesta

B. Vivienda

C. Registro de Personas

D. Características General

E. Asistencia a Presentaciones y Espectáculos Culturales

F. Lectura y Audiovisuales

G. Asistencia a Espacios Culturales

H. Formación y Práctica",https://catalog.ihsn.org/catalog/7089
