data_kind,study_type,unit_of_analysis,universe,keep,rationale,instrument_type
Sample survey data [ssd],NA,"Depending on the research question:  conservancy, PPO, household, individual

Household survey: The primary unit of analysis is the household. The definition of a household for the purposes of this survey is a group of people that live in the same compound and take meals together at least 4 days a week, as well as young children living elsewhere that are answerable to the head of the household. Several questions in the questionnaire apply to each individual family member.","For Conservancies, there are a total of 76 conservancies in Namibia, 28 of which are included in the evaluation.

For INP, the sample frame only included membership from 28 PPOs (out of 63 targeted PPOs) since only the most organized PPOs could provide membership lists.",No,irrelevant topic,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,"In order to have pre-program baseline data that predated the vetting of communities for the PWP, the national Integrated Household Survey (IHS3) collected in 2010/2011 by Malawi's National Statistics Office was used as the basis for the MRLS. Within the 12 selected districts, the list of PWP-eligible (pre-screened) communities from the District Council and Traditional Authorities was compared with the 786 enumeration areas (EAs) in the IHS3.",Yes,household health,Household health survey
Sample survey data [ssd],Other Household Survey [hh/oth],"Household
Individual","National Population, Both sexes,18 and more years.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"Household
Individual","National Population, Both sexes,18 and more years",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"La unidad de análisis de este estudio describe: vivienda, individuos y hogares",El universo para la Encuesta Nacional de Uso del Tiempo está conformado por la población civil no institucional residente en todo el territorio nacional.,Yes,time use,Time Use
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Individuals,"All persons aged 15 and over, resident within private households, regardless of their nationality, citizenship, language or legal status, in participating countries.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"Individuals
Institutions/organisations",NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Households and individuals.,NA,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Household and individuals,NA,NA,,
Sample survey data [ssd],"Sample Frame, Households [sf/hh]",#NAME?,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"Household
Urban center",NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Household and Induvisual,"- All households in the country determined on the basis of the usual place of their residence (de jure househols).  The households of diplomatic missions, the institutional households (like people living in schools hostels, prisons, army camps and hospitals) were excluded from the survey. 
-  All persons aged 5 years and above household members.",NA,,
Sample survey data [ssd],NA,"The unit of randomization for the intervention is a village.
 
Administered questionnaires have the following units of analysis: individuals (teachers, students, parents), households, schools, and communities.","All primary schools and rural households in Mirpur Khas, Mitiari and Sanghar districts in Sindh province.",No,Impact evaluation,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,"The target population is low-cost private schools in rural areas of Faisalabad district. Sampling is at the village level, so urban, and peri-urban villages are excluded.  Furthermore, for the design of the intervention, villages without any private schools, or with only one private school, are excluded.  Villages with population over 10,000 or high village aggregated revenue are also excluded.  

Government schools, and schools where money is not contained within the school itself (i.e. some network schools share money across multiple schools in the network), are also excluded.",No,Impact evaluation,
Sample survey data [ssd],NA,#NAME?,NA,NA,,
Sample survey data [ssd],NA,Households and individuals.,NA,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],#NAME?,NA,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Unit analiasis terkecil yang digunakan pada kegiatan ini : Anggota Rumah Tangga (Individu) dan Rumah Tangga,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Establishment,All service rendering establishments in the Central Business Register.,No,enterprise survey,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],"Individuals, households",The survey covered all de jure household members (usual residents),NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],The units of anaylsis for the General Household Survey 2013 are individuals and households.,"The survey covers all de jure household members (usual residents) of households in the nine provinces of South Africa and residents in workers' hostels. The survey does not cover collective living quarters such as student hostels, old age homes, hospitals, prisons and military barracks.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Units of analysis in the survey were individuals and households,"The target population of the survey consists of all private households in all nine provinces of South Africa and residents in workers' hostels. The survey does not cover other collective living quarters such as students' hostels, old-age homes, hospitals, prisons and military barracks.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"Household
Individual","National Population, Both sexes,16 and more years, excluding domestic workers and hostel dwellers.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,"The survey found out that a total of 133, 544 Albanian citizens of the age segment 18- above returned to Albania in the period 2009-2013.",No,migration survey,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"- Households;
- Individuals 16 years and older.",The survey covered all household members over 16 years old. Persons living in collective households and in institutions are generally excluded from the target population.,NA,,
Sample survey data [ssd],Other Household Survey,"Household, Individual",NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],The unit of analysis consists of households with children between 3 and 18 months of age residing in the catchment area of participating community clinics at the time of baseline data collection.,The full universe of the evaluation consists of households with children between 3 and 18 months of age residing in the catchment area of the 78 community clinics at the time of baseline data collection.,No,Impact evaluation,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Household,It consists of all Palestinian households and individuals who are staying normally in the state of Palestine during 2013,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Households,The target population was all Palestinian households living in the Palestine.,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"Household
Individual","National Population, Both sexes,18 and more years excluding people in hospitals, prisons and living outside the household for a period longer than 6 months.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Households,The target population was all Palestinian households living in West Bank and Gaza.,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Households,All Palestinians households living in West Bank and Gaza Strip.,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"- households,
- individuals",NA,NA,,
Sample survey data [ssd],NA,Health facility,All health facilities in targeted districts,NA,,
Sample survey data [ssd],Priority Survey (hh/ps],"-  Households

-  Individuals (Eligible from 13-24 years old)","Children aged 13-24 years old, male and female, who have been victims of physical, emotional, and sexual violence",Yes,Gender-based violence survey,Gender-based violence survey
Sample survey data [ssd],Other Household Survey [hh/oth],Hogares e Individuos,"Se consideran miembros del hogar a todas las personas que normalmente hacen vida en común y comparten un presupuesto de alimentación, es decir que comen juntas. Se excluyen aquellas personas que estuvieron ausentes más de seis meses en el último año, exceptuándose el jefe del hogar y los niños menores de seis meses. 
También se consideran miembros del hogar a las personas que se encuentren en las siguientes situaciones:
• Las personas que, en el momento de la encuesta, están residiendo transitoriamente fuera del hogar, ya sea por vacaciones, enfermedad, negocio, trabajo u otra razón, siempre que los períodos de ausencia no superen los seis meses. Estas personas, por tanto, no han definido otro lugar de residencia habitual, es decir, que tenga como residencia habitual solamente el hogar que se está encuestando.
• Las personas que realizan servicios domésticos (remunerados) y residen habitualmente en el hogar (""servicio doméstico puertas adentro"").
• Los extranjeros que trabajan o estudian en el país y que han estado residiendo en la vivienda, o que tengan intención de residir en ella, por seis meses o más.
• Las personas que se encuentran cumpliendo condena, sujetas a régimen de reclusión nocturna o de salida diaria (sólo duermen en el recinto penitenciario), siempre y cuando la persona tenga su residencia habitual en el hogar encuestado.
• Los estudiantes internos y los que estudian y residen en un lugar diferente al de la residencia familiar, aunque excepcionalmente excedan los seis meses de ausencia.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"UNIDAD DE OBSERVACIÓN

Las viviendas, los hogares y todas las personas que los conforman exceptuando los menores de 15 años.

UNIDAD DE ANÁLISIS

Las personas de 15 años en adelante residentes en los hogares particulares seleccionados en la muestra.

UNIAD DE MUESTREO 
Es el segmento (MT), conformado por 10 viviendas en promedio, seleccionadas y ubicadas en una manzana con límites definidos.",El universo de la ECSC está compuesto por los hogares particulares y la población civil no institucional residente habitual en las cabeceras municipales de los dominios de la encuesta.,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],"Households, individuals and communities.",NA,NA,,
Sample survey data [ssd],--,"student, teacher, clusters of schools",All elementary and primary schools in the province of WHP.,Yes,education data,EMIS
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Rumah tangga dan individu,Pelaksanaan Susenas Triwulan IV 2013 mencakup 75.000 rumah tangga sampel yang tersebar di seluruh provinsi dan 497 Kab/Kota di Indonesia.  Populasi dibedakan menurut desa/kota.,Yes,household health,Household health survey
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Unit analisis terkecil yang digunakan pada kegiatan ini adalah : rumah tangga,"1. Responden yang dicakup pada kegiatan ini adalah anggota rumah tangga 

2. Dibedakan menurut desa/kota",NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Jenis barang dan jasa,NA,No,irrelevant topic,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],secara ringkas unit analisis terkecil yang digunakan pada kegiatan ini adalah rumah tangga,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Households and Individuals.,NA,NA,,
Sample survey data [ssd],NA,"Households, properties/parcels, individuals",1904 households in 40 clusters at the baseline in Maseru,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],NA,The survey covered all household members over 16 years old. Persons living in collective households and in institutions are generally excluded from the target population.,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],NA,The reference population of EU-SILC is all private households and their current members residing in the territory of the Member States (MS) at the time of data collection. Persons living in collective households and in institutions are generally excluded from the target population.,Yes,Household income/expenditure survey,Household income/expenditure survey
Sample survey data [ssd],NA,"- Ménage
- Femmes âgées de 15-49 ans",NA,Yes,Household Health,Gender-based violence survey
Sample survey data [ssd],NA,"- Community-based childcare centers (CBCC) and their committee chairs/caregivers 
- 4-5-year-old children attending the CBCC
- Mothers/guardians of the 4-5 year old children attending the CBCC",NA,Yes,household health,Household health survey
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],La Unidad de Análisis de la Encuesta describe: Individuos y Hogares.,"La encuesta está dirigida a la población de 18 años cumplidos o más, que reside permanentemente en viviendas particulares dentro del territorio nacional.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"La encuesta está diseñada para recoger información de las siguientes unidades de análisis:

-  Vivienda

-  Hogar principal

-  Población de 18 años y más","La encuesta está dirigida a la población de 18 años cumplidos o más, en ciudades urbanas de 100,000 habitantes y más residentes en viviendas particulares dentro del territorio nacional.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"Está constituida por la población de 18 años de edad y más, en donde se selecciona a la persona que cumpla años en fecha más cercana al día de la entrevista.","La población objeto de estudio son las personas de 18 años de edad y más, que residan permanentemente en las viviendas particulares ubicadas en el territorio nacional, en la fecha del levantamiento.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"- Households,
- Individuals","- Women age 15-49 living in a household
- Men age 15-54 living in a household
- Children under 5 living in a household
- Children age 5-14 living in a household",Yes,Other household survey,Other household survey
Sample survey data [ssd],NA,"Banking - Individuals applying for a mortgage or loan using property as collateral at banks

Back office - Application to process property-related transaction at GASR","The Banking survey covered Loan Applicants at banks, men and women aged above 18. 

The Back office time tracking survey covered people who engaged in land-based transactions at General Authority of State Registry (GASR).

The informational interview covered qualitative interviews with GASR workers - Registry Officers of three district GASR offices (Chingeltei, Bayanzurkh, and Songinokhairkhan).",No,irrelevant topic,
Sample survey data [ssd],Other Household Survey [hh/oth],"The Annual Household survey have the following unit of analysis: income, expenditure, consumption,employment, unemployment,and educational status of individual and households.","The survey covered all de jure household members (usual residents), all individual aged 5 years and above.",Yes,Household income/expenditure survey,Household income/expenditure survey
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,NA,NA,,
Sample survey data [ssd],NA,Health facilities and healthcare providers,All health facilities providing primary-level care in these twelve states.,No,irrelevant topic,
Sample survey data [ssd],NA,"Schools, teachers, students.",All primary schools.,No,irrelevant topic,
Sample survey data [ssd],Other Household Survey [hh/oth],Households and Individuals,"The universe of this survey consists of all urban and rural areas of all four provinces, AJK and Gilgit Baltistan. FATA and Military restricted areas have been excluded from the scope of the survey.",NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],"La encuesta tiene las siguientes unidades de análisis: Hogares e Individuos

La unidad de investigación es el hogar que está constituido por:

-  Los integrantes del hogar familiar.

-  Los trabajadores del hogar con cama adentro, reciban o no pago por sus servicios.

-  Los integrantes de una pensión familiar que tienen como máximo 9 pensionistas.

-  Las personas que no son miembros del hogar familiar, pero que estuvieron presentes en el hogar los últimos 30 días.

No serán investigados:

-  Los integrantes de una pensión familiar que tiene de 10 a más pensionistas.

-  Los trabajadores del hogar con cama afuera.

-  Las viviendas habitadas por más de 5 hogares.","La población bajo estudio estuvo constituida por el conjunto de viviendas particulares y sus ocupantes del área urbana y rural del país.

Se excluyó del estudio a los miembros de las fuerzas armadas que viven en cuarteles, campamentos, barcos etc. Además, se excluyó del estudio a la población residente en viviendas tipo colectivas como hospitales, cuarteles, comisarías, hoteles, asilos, claustros  religiosos, centros de reclusión, etc.",NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],"Las Unidades de análisis describen: Viviendas particulares, Hogares y Todas las personas residentes habituales del hogar.","Comprende a todas aquellas viviendas y sus ocupantes residentes del area urbana y área rural del país.

No forman parte del estudio aquellas personas que residan en viviendas colectivas (hoteles, asilos, hospitales, cárceles, etc.)",NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Individu par site d'habitation,L'ensemble des femmes transformatrices sur les 5 sites.,NA,,
Sample survey data [ssd],Other Household Survey,Household,"The sample does not include nomadic households (which recent estimates suggest comprises 36% of the population), and omits households in areas affected by ongoing conflict",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],NA,"Population are households in eight districts in mainland Tanzania (Bagamoyo, Kinondoni, Kilosa, Iringa Urban, Mbozi, Kahama, Geita, Musoma Rural). Within each district, we visited ten SAVVY enumeration areas and randomly selected 45 households within each enumeration area, i.e. 450 households per district. The only exception was Kinondoni, due to its urban nature, there were only 6 SAVVY enumeration areas and we therefore only selected 270 households in Kindondoni. Participation in the study was at the household level.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Establishments,Formal establishment of both public and private sectors.,No,enterprise survey,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],#NAME?,"The survey covered all private, noninstitution households residing in all provinces, and also in both municipal and non-municipal areas (excluding households of foreign diplomats and other temporary residents).",NA,,
Sample survey data [ssd],NA,Health facilities and healthcare providers,All health facilities providing primary-level care.,No,irrelevant topic,
Sample survey data [ssd],Other Household Survey [hh/oth],"Schools, teachers and students",All primary schools,No,irrelevant topic,
Sample survey data [ssd],Other Household Survey [hh/oth],"Some questions are at the level of individuals in household (e.g. livelihood activities, education levels); other questions are at the household level (e.g. assets). A sizeable share of the questionnaire is devoted to perceptions based questions, which are at the individual (respondent) level.","Randomly selected households in purposely sampled sites (sampling procedure varied slightly by country).

Within a selected household, only one household members was interviewed about the household. Respondents were adults and we aimed to interview a fairly even share of  men/ women. In some countries this was achieved, but in other countries the share of male respondents is substantially higher (e.g. Pakistan).",Yes,Other household survey,Other household survey
Sample survey data [ssd],NA,#NAME?,All primary schools.,No,irrelevant topic,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,A purposive sample refers to selection of units based on personal judgement rather than randomization.,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"La encuesta tiene las siguientes unidades de análisis: Hogares e Individuos.

Quedan excluidos tanto las viviendas como los hogares colectivos (hoteles, conventos, cuarteles, hospitales). No obstante lo anterior, sí se incluyen las familias que formando un grupo independiente, residen en estos establecimientos, como puede ser el caso de los encargados, caseros, porteros, etc.","Residentes en viviendas particulares o colectivas que constituyen uno o más hogares particulares en todo el territorio nacional. Quedan excluidos los miembros de hogares colectivos o residentes particulares en hogares colectivos como hospitales, conventos, casas cuna, hogares de larga estadía (casas de salud), prisiones, residencias extraterritoriales (embajadas y consulados), cuarteles, hoteles y pensiones.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,Población residente en hogares particulares de Montevideo y de localidades de 5.000 y más habitantes del territorio nacional.,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,Adolescentes y jóvenes de entre 12 y 29 años,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"Individuals 
Families/households 
Data are also gathered at Community and Mini-Community level.","Cross-national; Subnational
Children aged 12 years old, children aged 19 years old, and the households of both sets, in Ethiopia, India (Andhra Pradesh), Peru and Vietnam. These children were originally interviewed in Rounds 1-3 of the study.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Individual and Household,All refugees in Meheba and Mayukwayukwa refugee settlements,No,limited sample,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Unit analisis terkecil yang digunakan pada kegiatan ini adalah rumah tangga,Responden yang dicakup pada kegaitan ini adalah anggota rumah tangga,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],"Unit analisis terkecil yang digunakan pada kegiatan ini, adalah Kepala rumah tangga dan anggota rumah tangga.","1. Responden yang dicakup dalam Susenas 2013 adalah rumah tangga biasa, tidak termasuk rumah tangga khusus. Pelaksanaan Susenas 2013 mencakup 300.000 rumah tangga sampel yang tersebar di seluruh provinsi dan 497 Kab/Kota di Indonesia, di mana setiap triwulan akan didistribusikan sebanyak 75.000 rumah tangga.

2. Dibedakan menurut desa/kota",Yes,Other household survey,Other household survey
Sample survey data [ssd],NA,Individual,"The target population is the civilian, non-institutionalized population 15 years and above.",NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Individuals,Individuals of 15 years or older.,NA,,
Sample survey data [ssd],Household Survey [hh],The units of anaylsis for the General Household Survey 2014 are individuals and households.,"The survey covers all de jure household members (usual residents) of households in the nine provinces of South Africa and residents in workers' hostels. The survey does not cover collective living quarters such as student hostels, old age homes, hospitals, prisons and military barracks.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Households and individuals,The target population of the survey consists of individuals aged 15 years and older who live in South Africa and who are members of households living in dwellings that have been selected to take part in the second quarter Quarterly Labour Force Survey (QLFS).,Yes,LFS,LFS
Sample survey data [ssd],"Sample Frame, Households [sf/hh]","- Household.
- Persons 10 years and over .",All Palestinian households and individuals whose usual place of residence in Palestine with focus on persons aged 10 years and over in year 2014.,NA,,
Sample survey data [ssd],"Sample Frame, Households [sf/hh]","- Household.
- Person 10 years and over .",All Palestinian households and individuals whose usual place of residence is in Palestine with focus on persons aged 10 years and over in the year 2014.,NA,,
Sample survey data [ssd],NA,"- children,
- households,
- preschools,
- communities",NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"Households
Children 0-23 months
Children 6-59 months
Women 15-49 years","children 0-59 months
women 15-49 years
refugee households",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"Tendo em conta que o objetivo do inquérito é estudar as despesas de consumo dos agregados familiares, as unidades básicas de análise serão os agregados familiares e todos os membros que o compõem.",NA,Yes,Household income/expenditure survey,Household income/expenditure survey
Sample survey data [ssd],Case study,Individuals,The survey covered students and instructors in the single institution involved in the study.,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"La unidad de análisis de este estudio describe: viviendas, hogares y personas.",El universo para la Encuesta Nacional de Calidad de Vida está conformado por la población civil no institucional residente en todo el territorio nacional.,Yes,Household income/expenditure survey,Household income/expenditure survey
Sample survey data [ssd],Other Household Survey [hh/oth],"La unidad de análisis de este estudio describe: viviendas, hogares y personas.",El universo para la Encuesta de Consumo Cultural está conformado por la población civil no institucional residente en las cabeceras municipales del territorio nacional.,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"En la Encuesta de Convivencia y Seguridad Ciudadana, las unidades de análisis son: Las viviendas, los hogares y todas las personas que los conforman exceptuando los menores de 15 años.",El universo de la ECSC está compuesto por los hogares particulares y la población civil no institucional residente habitual en las cabeceras municipales de los dominios de la encuesta.,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Individuals,"All persons aged 15 and over, residing within private households, regardless of their nationality, citizenship, language or legal status, in participating countries.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Individuals,"For the baseline survey, the plan was to interview at least all the 200 participants in mentors treatment and control groups, as well as all the 1,600 eligible and ineligible mentees. By the time survey field work started, mid-April 2014, just at the closure of the application period and before the selection of eligible applications, the sample included 234 applicant mentors; adding recommended mentees, the total number of households to be surveyed had become close to 1,600 in total. In this data we have information on a total of 231 (potential) mentors and 1,363 (potential) mentees, including those who later dropped out of the program or were ineligible because of some criteria.",No,Impact evaluation,
Sample survey data [ssd],NA,"- households,
- health facilities,
- villages",NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"- Individuals, 
- Households",Adults age 15 and older residing in households,NA,,
Sample survey data [ssd],NA,Ecoles,NA,No,irrelevant topic,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,NA,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Randomly selected households  based on sampling procedure and members of the household,The survey used the interview method of data collection from a sample of randomly selected households and members of the household.,NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Unit analisis terkecil yang digunakan pada Susenas 2014 triwulan 1 adalah rumah tangga.,"1. Responden yang dicakup pada kegiatan ini adalah anggota rumah tangga biasa dan tidak termasuk rumah tangga khusus.

2. Dibedakan menurut desa/kota",NA,,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],Secara ringkas unit analisis terkecil yang digunakanpada kegiatan ini adalah rumah tangga,"1. Susenas Modul Ketahanan Sosial 2014 dilaksanakan di seluruh kabupaten/kota dengan sampel sebanyak 75.000 rumah tangga. Sampel rumah tangga Modul Ketahanan Sosial adalah sampel Susenas Triwulan III Tahun 2014. 

2. Survei ini dibedakan menurut desa\kota.",Yes,Other household survey,Other household survey
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],"Unit analisis terkecil yang digunakan pada kegiatan ini,rumah tangga.",Susenas September 2014 mencakup 75 000 rumah tangga sampel yang tersebar di seluruh wilayah geografis Indonesia. Hasil dari Susenas September 2014 dapat disajikan baik pada tingkat nasional maupun tingkat provinsi dan dibedakan menurut daerah perkotaan dan perdesaan.,Yes,Other household survey,Other household survey
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],"Unit analisis terkecil yang digunakan pada kegiatan ini, rumah tangga.","1. Responden yang dicakup pada kegiatan ini mencakup 75 000 rumah tangga sampel yang tersebar di seluruh wilayah geografis Indonesia

2. Survei ini dibedakan menurut perdesaan dan perkotaan",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],Respondents aged 16 and older.,NA,NA,,
Sample survey data [ssd],--,"Student, teacher, school, school committee, village, Village Education Development Committee, Principals","Six provinces, three regions in country.",No,irrelevant topic,
Sample survey data [ssd],Socio-Economic/Monitoring Survey [hh/sems],#NAME?,All households from the 2014 Sierra Leone Labor Force Survey which provided cell phone numbers.,Yes,LFS,LFS
Sample survey data [ssd],Other Household Survey,"- individuals,
- households,
- villages",NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"Household
Individual","National Population, Both sexes,20 to 24 years.",NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"Pregnant women, children 0-12 months old and respective households",Target population: pregnant women and children eligible to attend the national community based nutrition program,Yes,household health,Household health survey
Sample survey data [ssd],Other Household Survey [hh/oth],"La encuesta está diseñada para recoger información de las siguientes unidades de análisis:

- Vivienda

- Hogar principal

- Población de 18 años y más","La encuesta está dirigida a la población de 18 años cumplidos o más, en ciudades urbanas de 100,000 habitantes y más residentes en viviendas particulares dentro del territorio nacional.",NA,,
Sample survey data [ssd],NA,"Schools, teachers, students.",All public primary schools,No,irrelevant topic,
Sample survey data [ssd],NA,Health facilities and healthcare providers,All health facilities providing primary-level care,No,irrelevant topic,
Sample survey data [ssd],NA,#NAME?,NA,No,irrelevant topic,
Sample survey data [ssd],NA,#NAME?,"Five hundred primary healthcare facilities participating in the first phase of the program, and 500 more primary healthcare facilities participating in the second phase of the program; 1,285 midwives enrolled the first phase (during 2013/14) in an experiment to test the effectiveness of different forms of incentives (monetary; non-monetary; combined) on midwife attrition and 2,180 midwives enrolled in the second phase; ward development committees in the catchment areas of all primary healthcare facilities included in the study; women that had given birth in the three months preceding the survey in the catchment areas of all primary healthcare facilities included in the study.",No,Impact evaluation,
Sample survey data [ssd],Other Household Survey [hh/oth],Individuals,Individual Small Scale Farmers,Yes,Agricultural survey,Agricultural survey
Sample survey data [ssd],Other Household Survey [hh/oth],"La unidad de investigación está constituida por: 

-  Los integrantes del hogar familiar

-  El hogar","La población de estudio, son todas las viviendas particulares y sus ocupantes residentes en el área rural del país. 

Se excluye a las personas que residen en las viviendas colectivas (hoteles, hospitales, asilos, conventos, centros de reclusión entre otros).",NA,,
Sample survey data [ssd],NA,Stakeholders of the World Bank Group in Tajikistan,NA,No,Relevant only to World Bank,
Sample survey data [ssd],NA,"Schools, teachers, students.",NA,No,irrelevant topic,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,Formal establishment of both public and private sectors.,No,enterprise survey,
Sample survey data [ssd],Other Household Survey [hh/oth],Individuals/Households,NA,NA,,
Sample survey data [ssd],Other Household Survey [hh/oth],"The basic unit of analysis is at the household level. However, some datasets contain individual level data, whilst some data is collected at the community level.","The quantitative survey was implemented in 398 clusters across 48 sub-counties in eight programme districts (Apac, Kaberamaido, Katakwi, Kiboga, Kyenjojo, Moroto, Nakapiripirit and Nebbi). The two targeting mechanisms (SCG and VFSG) were randomly assigned evenly between the 48 sub-counties, with the exception of the Karamoja region in which only the SCG targeting mechanism was employed. The SAGE programme implemented the targeting process in evaluation areas where selected recipients received the transfer, but only after they were surveyed at baseline by the evaluation teams.

The households in the evaluation areas that were selected for the programme are referred to as the treatment group. The comparison households that were selected were those households that fell just shy of the selection thresholds. For SCG the threshold is 65 years of age, dropping to 60 years of age in the Karamoja region. For VFSG eligibility depends on a household's labour capacity and dependency (LCD) score, with the threshold score for eligibility varying by region. Households who fell just below the relevant SCG/VFSG threshold are referred to as the comparison group.",No,Impact evaluation,
Sample survey data [ssd],Other Household Survey [hh/oth],#NAME?,"The survey covered all de jure household members (usual residents), who usually reside at the household and the dwelling in Zimbabwe.",NA,,
Sample survey data [ssd],NA,#NAME?,NA,NA,,
Sample survey data [ssd],Other Household Survey,"- Households
- Individuals
- Children aged 6-59 months old",NA,NA,,
Sample survey data [ssd],Statistical Info. & Monitoring Prog. [hh/simpoc],#NAME?,The TIMSS target populations are fourth and eighth graders in each participating country.,No,irrelevant topic,
