"","country","iso3c","year","instrument_name","instrument_type","status","source","authoring_entity","study_type","household_flag"
"133","Philippines","PHL",2016,"Quarterly Aquaculture Survey 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Philippine Statistics Authority (PSA)","Agricultural Survey [ag/oth]",FALSE
"134","Philippines","PHL",2016,"Quarterly Commercial Fisheries Survey 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Philippines Statistics Authority","Agricultural Survey [ag/oth]",FALSE
"135","Philippines","PHL",2016,"Quarterly Municipal Fisheries Survey 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Philippine Statistics Authority","Agricultural Survey [ag/oth]",FALSE
"136","Philippines","PHL",2015,"Quarterly Aquaculture Survey 2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Philippine Statistics Authority (PSA)","Agricultural Survey [ag/oth]",FALSE
"137","Philippines","PHL",2015,"Quarterly Municipal Fisheries Survey 2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Philippine Statistics Authority","Agricultural Survey [ag/oth]",FALSE
"138","Philippines","PHL",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"139","Russian Federation","RUS",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"140","Rwanda","RWA",2020,"Rwanda Seasonal Agriculture Survey 2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics of Rwanda",NA,FALSE
"141","Rwanda","RWA",2019,"Rwanda Seasonal Agriculture Survey 2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics of Rwanda","Agricultural Survey [ag/oth]",FALSE
"142","Rwanda","RWA",2017,"Agricultural Household Survey 2017","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics of Rwanda","Agricultural Survey [ag/oth]",TRUE
"143","Rwanda","RWA",2018,"Rwanda Seasonal Agriculture Survey 2018","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics of Rwanda","Agricultural Survey [ag/oth]",FALSE
"144","Rwanda","RWA",2017,"Integrated Household Living Conditions Survey - Wave 5, Cross-Sectional Sample, 2016-2017.","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics Rwanda (NISR)","Income/Expenditure/Household Survey [hh/ies]",TRUE
"145","Rwanda","RWA",2017,"Integrated Household Living Conditions Survey, Wave 5, VUP, 2016-2017.","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics Rwanda (NISR)","Income/Expenditure/Household Survey [hh/ies]",TRUE
"146","Rwanda","RWA",2017,"Rwanda Seasonal Agriculture Survey 2017","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics of Rwanda","Agricultural Survey [ag/oth]",FALSE
"147","Rwanda","RWA",2016,"Rwanda Seasonal Agriculture Survey 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics of Rwanda","Agricultural Survey [ag/oth]",FALSE
"148","Rwanda","RWA",2015,"Rwanda Seasonal Agriculture Survey 2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics of Rwanda","Agricultural Survey [ag/oth]",FALSE
"149","Rwanda","RWA",2014,"Integrated Household Living Conditions Survey - Wave 4, Cross-Sectional Sample, 2013-2014.","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics Rwanda (NISR)","Income/Expenditure/Household Survey [hh/ies]",TRUE
"150","Rwanda","RWA",2014,"Integrated Household Living Conditions Survey - Wave 4, VUP Sample, 2013-2014.","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics Rwanda (NISR)","Income/Expenditure/Household Survey [hh/ies]",TRUE
"151","Rwanda","RWA",2014,"Integrated Household Living Conditions Survey, Wave 4, Panel Sample, 2013-2014.","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics Rwanda (NISR)","Income/Expenditure/Household Survey [hh/ies]",TRUE
"152","Rwanda","RWA",2014,"Rwanda Seasonal Agriculture Survey 2014","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics of Rwanda, ","Agricultural Survey [ag/oth]",FALSE
"153","Rwanda","RWA",2013,"Rwanda Seasonal Agriculture Survey 2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Institute of Statistics of Rwanda","Agricultural Survey [ag/oth]",FALSE
"154","Senegal","SEN",2022,"Annual Agricultural Survey 2021-2022","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Directorate of Analysis, Forecasting and Agricultural Statistics",NA,FALSE
"155","Senegal","SEN",2021,"Annual Agricultural Survey 2020-2021","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Directorate of Analysis, Forecasting and Agricultural Statistics",NA,FALSE
"156","Senegal","SEN",2020,"Annual Agricultural Survey 2019-2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Directorate of Analysis, Forecasting and Agricultural Statistics",NA,FALSE
"157","Senegal","SEN",2019,"Building Resilience and Adaptation to Climate Extremes and Disasters 2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Initiative Prospective Agricole et Rurale (IPAR)",NA,FALSE
"158","Senegal","SEN",2019,"Essential Need Assessment 2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","World Food Program",NA,FALSE
"159","Senegal","SEN",2019,"Annual Agricultural Survey 2018-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Directorate of Agricultural Analysis, Forecasting and Statistics","Agricultural Survey [ag/oth]",FALSE
"160","Senegal","SEN",2018,"Good Growth Plan, 2018","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"161","Senegal","SEN",2017,"Annual Agricultural Survey 2017-2018","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Directorate of Agricultural Analysis, Forecasting and Statistics","Agricultural Survey [ag/oth]",FALSE
"162","Senegal","SEN",2018,"Rural Youth Migration and Women’s Empowerment in Agriculture","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Food and Agriculture Organization, National Agency for Statistics and Demography (ANSD)",NA,TRUE
"163","Solomon Islands","SLB",2022,"High Frequency Phone Survey on COVID-19 2022, Round 4","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","World Bank",NA,FALSE
"164","Solomon Islands","SLB",2021,"High Frequency Phone Survey on COVID-19 2021, Round 3","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","World Bank",NA,FALSE
"165","Solomon Islands","SLB",2020,"High Frequency Phone Survey, 2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","World Bank","Socio-Economic/Monitoring Survey [hh/sems]",FALSE
"166","Solomon Islands","SLB",2021,"High Frequency Phone Survey, 2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","World Bank",NA,FALSE
"167","South Africa","ZAF",2018,"General Household Survey 2018","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Statistics South Africa","Other Household Survey [hh/oth]",TRUE
"168","South Africa","ZAF",2016,"General Household Survey 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Statistics South Africa","Living Standards Measurement Study [hh/lsms]",TRUE
"169","South Africa","ZAF",2015,"General Household Survey 2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Statistics South Africa","Other Household Survey [hh/oth]",TRUE
"170","South Africa","ZAF",2015,"Good Growth Plan, 2014-2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"171","South Africa","ZAF",2015,"National Income Dynamics Study 2014","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Southern Africa Labour and Development Research Unit","Income/Expenditure/Household Survey [hh/ies]",FALSE
"172","South Africa","ZAF",2013,"General Household Survey 2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Statistics South Africa","Other Household Survey [hh/oth]",TRUE
"173","Spain","ESP",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"174","Sudan","SDN",2022,"Good Growth Plan, 2022","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta",NA,FALSE
"175","Sudan","SDN",2019,"Good Growth Plan, 2018-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"176","Thailand","THA",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"177","Tunisia","TUN",2018,"Good Growth Plan, 2018","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"178","Uganda","UGA",2020,"High-Frequency Phone Survey on COVID-19, 2020-2021","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Uganda Bureau of Statistics (UBOS)","Other Household Survey [hh/oth]",FALSE
"179","Uganda","UGA",2020,"National Panel Survey 2019-2020","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Uganda Bureau of Statistics",NA,FALSE
"180","Uganda","UGA",2019,"Annual Agricultural Survey, 2018-2019 (Second Season).","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Uganda Bureau of Statistics (UBOS)","Agriculture Integrated Survey[AGRISurvey]",FALSE
"181","Uganda","UGA",2019,"National Panel Survey, 2018-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Uganda Bureau of Statisitcs","Living Standards Measurement Study [hh/lsms]",FALSE
"182","Uganda","UGA",2016,"Gender Indicators in Agricultural Statistics: Uganda pilot study, 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Global Strategy for improving Agricultural and Rural Statistics (GSARS)","Agricultural survey [ag/oth]",TRUE
"183","Uganda","UGA",2016,"National Panel Survey 2015-2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Uganda Bureau of Statistics","Living Standards Measurement Study [hh/lsms]",FALSE
"184","Uganda","UGA",2015,"Smallholder Household Survey - CGAP, 2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Jamie Anderson","Other Household Survey [hh/oth]",TRUE
"185","Uganda","UGA",2013,"Livelihoods, Basic Services, Social Protection and Perceptions of the State in Conflict-affected Situations Household Survey 2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Secure Livelihoods Research Consortium, Feinstein International Center, Humanitarian Aid and Reconstruction, Food and Agriculture Organization","Other Household Survey [hh/oth]",TRUE
"186","Uganda","UGA",2014,"National Panel Survey 2013-2014","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Uganda Bureau of Statistics","Living Standards Measurement Study [hh/lsms]",FALSE
"187","Ukraine","UKR",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"188","United Kingdom Of Great Britain And Northern Ireland","GBR",2017,"Good Growth Plan, 2015-2017","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"189","United Republic of Tanzania, Zanzibar","TZA",2022,"Good Growth Plan, 2022","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta",NA,FALSE
"190","United Republic of Tanzania, Zanzibar","TZA",2016,"Annual Agricultural Sample Survey 2014-2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Bureau of Statistics, Office of the Chief Government Statistician","Agricultural Survey [ag/oth]",FALSE
"191","United Republic of Tanzania, Zanzibar","TZA",2016,"National Panel Survey Wave 4 - Feed the Future Interim Supplemental Survey 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Tanzania National Bureau of Statistics","Living Standards Measurement Study [hh/lsms]",FALSE
"192","United Republic of Tanzania, Zanzibar","TZA",2016,"Smallholder Household Survey - CGAP, 2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Jamie Anderson","Other Household Survey [hh/oth]",TRUE
"193","United Republic of Tanzania, Zanzibar","TZA",2019,"Good Growth Plan, 2015-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"194","United Republic of Tanzania, Zanzibar","TZA",2015,"CGAP Financial Diaries with Smallholder Households 2014-2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Jamie Anderson, Wajiha Ahmed, Daryl Collins","Other Household Survey [hh/oth]",TRUE
"195","United Republic of Tanzania, Zanzibar","TZA",2016,"National Panel Survey 2014-2016","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Bureau of Statistics","Living Standards Measurement Study [hh/lsms]",FALSE
"196","United Republic of Tanzania, Zanzibar","TZA",2013,"National Panel Survey 2012-2013","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Bureau of Statistics","Other Household Survey [hh/oth]",FALSE
"197","United Republic of Tanzania, Zanzibar","TZA",2015,"National Panel Survey- Universal Panel Questionnaire,  2008-2015","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","National Bureau of Statistics","Living Standards Measurement Study [hh/lsms]",FALSE
"198","Viet Nam","VNM",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"199","Zambia","ZMB",2019,"Good Growth Plan, 2014-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"200","Zimbabwe","ZWE",2019,"Good Growth Plan, 2016-2019","Agricultural Survey/Census","completed","https://microdata.fao.org/index.php/catalog","Syngenta","Agricultural Survey [ag/oth]",FALSE
"201","Costa Rica","CRI",2019,"Encuesta Nacional Agropecuaria","Agricultural Survey/Census","Completed","http://www.fao.org/documents/card/en/c/cb3976en",NA,"Agriculture Integrated Survey[AGRISurvey]",FALSE
"202","Nepal","NPL",2020,"AGRISurvey Nation-wide","Agricultural Survey/Census","Completed","http://www.fao.org/in-action/agrisurvey/country-work/nepal/en/",NA,"Agriculture Integrated Survey[AGRISurvey]",FALSE
"203","Senegal","SEN",2020,"Annual Agricultural Survey 2019-2020","Agricultural Survey/Census","Completed","http://www.fao.org/in-action/agrisurvey/country-work/senegal/en/",NA,"Agriculture Integrated Survey[AGRISurvey]",FALSE
"204","Uganda","UGA",2020,"National Panel Survey, 2019-2020","Agricultural Survey/Census","Completed","https://www.worldbank.org/en/programs/lsms/initiatives/lsms-ISA#46",NA,"Living Standards Measurement Study [hh/lsms]",FALSE
